STATEFP,COUNTYFP,COUSUBFP,Place,Population,Area,Density,State,lat,lon,poi_count,poke_score,visible_stops,estimated_gyms,area_km2,stationary_cluster_score,cluster_grade
33,11,42260,"Litchfield town, Hillsborough County, New Hampshire",8478,15.280264604164218,554.8333238738256,New Hampshire,42.8402627,-71.4797303,5,2774.166619369128,3,1,39.57573252213928,0.0758040296113724,D
33,11,59940,"Pelham town, Hillsborough County, New Hampshire",14222,26.838025252731647,529.9197636961925,New Hampshire,42.7325655,-71.3245397,2,1059.839527392385,1,0,69.51021702432243,0.014386374303076746,D
33,15,74340,"Stratham town, Rockingham County, New Hampshire",7669,15.476339256911174,495.5306208201207,New Hampshire,43.011294,-70.9154647,3,1486.591862460362,3,1,40.08356391200737,0.07484364430731981,D
33,11,29860,"Goffstown town, Hillsborough County, New Hampshire",18577,37.53280695353208,494.953655424692,New Hampshire,43.0191178,-71.600344,4,1979.814621698768,4,1,97.20959468157855,0.04114820160605,D
33,15,52900,"Newton town, Rockingham County, New Hampshire",4820,9.941733689847732,484.8248957746748,New Hampshire,42.8854709,-71.0564861,5,2424.124478873374,4,1,25.748990839368727,0.1553458939402095,D
33,15,67620,"Sandown town, Rockingham County, New Hampshire",6548,14.398069411367182,454.783194393437,New Hampshire,42.9265829,-71.1874261,1,454.783194393437,1,0,37.29085579474688,0.026816225551489457,D
33,15,50980,"New Castle town, Rockingham County, New Hampshire",1000,2.26613168704379,441.2806218267563,New Hampshire,42.98454,-71.08897,5,2206.4031091337815,4,1,5.869258408126545,0.6815171052038909,D
33,13,37300,"Hooksett town, Merrimack County, New Hampshire",14871,37.05967035752004,401.2717829526624,New Hampshire,43.090581,-71.4628568,2,802.5435659053248,2,1,95.98417562927332,0.02083676800772604,D
50,25,7900,"Brattleboro town, Windham County, Vermont",12184,32.60441987418451,373.69166655981616,Vermont,42.8507588,-72.5572913,30,11210.749996794484,27,2,84.44512142993912,0.31973427881681554,D
33,15,17140,"Danville town, Rockingham County, New Hampshire",4408,11.808868093559816,373.2787905729919,New Hampshire,42.9351377,-71.1196821,5,1866.3939528649596,4,1,30.584850273638985,0.13078370383416887,D
50,3,4825,"Bennington town, Bennington County, Vermont",15333,42.164671884231765,363.6456615172677,Vermont,42.8773696,-73.1977306,31,11273.015507035298,28,2,109.20607853344143,0.25639598432632804,D
33,15,64020,"Raymond town, Rockingham County, New Hampshire",10684,29.56082044919412,361.4243392994616,New Hampshire,43.0368681,-71.1832882,4,1445.6973571978465,4,1,76.56222935520827,0.052245082643063,D
33,9,41300,"Lebanon city, Grafton County, New Hampshire",14282,41.194582810390926,346.6960708337968,New Hampshire,43.6433069,-72.2518043,14,4853.744991673155,13,2,106.69355753308439,0.12184428282812537,D
33,17,65540,"Rollinsford town, Strafford County, New Hampshire",2597,7.554297400028519,343.7778343211899,New Hampshire,43.29743,-71.0294,2,687.5556686423798,2,1,19.56555472309986,0.10222045979809208,D
